COD.FABBRICATO	DESCRIZIONE IMMOBILE	COD.UNITA’ IMMOBILIARE	PIANO	NUM.STANZA	CENTRO DI COSTO 	
59   	CFCS                                              	59FB1	PIANO TERRA	FB1C28	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C33	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C42	112020101	
59   	CFCS                                              	59FB2	PRIMO PIANO	FB2C46	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C39	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C41	112020101	
59   	CFCS                                              	59FB3	SECONDO PIANO	FB3C44	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A08	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A04	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A06	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A09	112020101	
71   	CFCS MONOLOCALI                                   	71EA0	PIANO TERRA	EA0A06	112020101	
71   	CFCS MONOLOCALI                                   	71EA0	PIANO TERRA	EA0A08	112020101	
71   	CFCS MONOLOCALI                                   	71EA0	PIANO TERRA	EA0A10	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A02	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A06	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A05	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A12	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A12	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A02	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A10	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A11	112020101	
71   	CFCS MONOLOCALI                                   	71EA0	PIANO TERRA	EA0A01	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A05	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A07	112020101	
71   	CFCS MONOLOCALI                                   	71EA0	PIANO TERRA	EA0A04	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A04	112020101	
71   	CFCS MONOLOCALI                                   	71EA0	PIANO TERRA	EA0A02	112020101	
71   	CFCS MONOLOCALI                                   	71EA1	PRIMO PIANO	EA1A10	112020101	
71   	CFCS MONOLOCALI                                   	71EA2	SECONDO PIANO	EA2A08	112020101	
60   	CFCS-EA0C03                                       	1    	PIANO TERRA	EA0C03	112020101	
60   	CFCS-EA0C03                                       	1    	PIANO TERRA	EA0C03	112020101	
60   	CFCS-EA0C03                                       	1    	PIANO TERRA	2     	112020101	
60   	CFCS-EA0C03                                       	1    	PIANO TERRA	2     	112020101	
62   	CFCS-EA0C05                                       	1    	PIANO TERRA	EA0C05	112020101	
62   	CFCS-EA0C05                                       	1    	PIANO TERRA	EA0C05	112020101	
63   	CFCS-EA0C07                                       	1    	PIANO TERRA	EA0C07	112020101	
63   	CFCS-EA0C07                                       	1    	PIANO TERRA	EA0C07	112020101	
64   	CFCS-EA0C09                                       	1    	PIANO TERRA	EA0C09	112020101	
64   	CFCS-EA0C09                                       	1    	PIANO TERRA	EA0C09	112020101	
65   	CFCS-EA0C11                                       	1    	PIANO TERRA	EA0C11	112020101	
65   	CFCS-EA0C11                                       	1    	PIANO TERRA	EA0C11	112020101	
